RegionName,AvgScrRead,AvgScrEng,AvgScrMath,AvgScrSci,AVERAGE
Agoura Hills,27.0,26.0,25.0,24.0,25.5
Alhambra,25.5,26.0,25.5,24.5,25.375
Allentown,25.0,24.0,22.0,23.0,23.5
Arcadia,28.0,29.0,28.0,27.0,28.0
Azusa,17.0,16.0,18.0,19.0,17.5
Baldwin Park,21.0,19.0,20.0,20.0,20.0
Bassett,23.0,22.0,22.0,22.0,22.25
Bell,18.0,17.0,18.0,18.0,17.75
Beverly Hills,28.0,29.0,27.0,26.0,27.5
Burbank,25.5,25.5,24.5,24.0,24.875
California,18.666666666666668,16.666666666666668,17.666666666666668,17.666666666666668,17.666666666666668
Canoga Park,19.0,18.0,18.0,18.0,18.25
Carlsbad,23.0,23.0,22.0,22.0,22.5
Carson,21.333333333333332,21.666666666666668,21.666666666666668,20.333333333333332,21.25
Casa Grande,24.0,23.0,23.0,23.0,23.25
Castle Heights,23.0,23.0,21.0,21.0,22.0
Central LA,18.0,17.4,17.6,17.8,17.7
Cerritos,24.0,24.5,25.0,24.0,24.375
Charter Oak,22.0,21.0,22.0,22.0,21.75
Chatsworth,21.0,20.0,21.0,20.0,20.5
Citrus Grove,23.0,22.0,23.0,23.0,22.75
Claremont,25.0,24.0,24.0,24.0,24.25
Compton,16.0,14.4,16.4,15.8,15.65
Cornwell Street,21.0,20.0,21.0,20.0,20.5
Covina,21.0,21.0,21.0,22.0,21.25
Crescenta Highlands,26.0,27.0,26.0,25.0,26.0
Diamond Bar,28.0,28.0,29.0,27.0,28.0
Downey,23.0,22.0,22.0,22.0,22.25
Duarte,23.5,23.5,21.0,21.5,22.375
East Los Angeles,17.5,16.5,18.5,17.5,17.5
East Whitter,23.0,22.0,23.0,22.0,22.5
El Monte,22.0,21.0,23.0,22.0,22.0
El Rancho,19.0,18.0,19.0,19.0,18.75
El Segundo,25.0,25.0,24.0,24.0,24.5
Fairfax,21.0,20.5,20.5,20.0,20.5
Glendora,25.0,23.0,24.0,23.0,23.75
Granada Hills,23.0,22.5,22.5,22.0,22.5
Greater Mulwood,27.0,28.0,25.0,25.0,26.25
Hacienda Heights,23.0,22.0,22.5,23.0,22.625
Harbor Gateway North,17.5,17.0,17.5,17.0,17.25
Hawthorne,19.0,18.5,19.0,18.0,18.625
Highland Park,16.5,16.0,18.0,17.0,16.875
Huntington Park,16.5,16.666666666666668,17.333333333333332,17.166666666666668,16.916666666666668
Inglewood,17.2,16.2,17.2,17.0,16.9
Koreatown,22.0,22.0,18.0,20.0,20.5
La Cañada Flintridge,29.0,29.0,29.0,28.0,28.75
La Crescenta-Montrose,27.0,27.0,26.0,26.0,26.5
La Mirada,24.0,23.0,21.0,21.0,22.25
La Puente,22.0,20.0,21.0,20.0,20.75
La Verne,23.0,22.0,22.0,22.0,22.25
Lake Balboa,22.0,22.5,21.5,21.0,21.75
Lakewood,22.0,21.0,21.0,21.0,21.25
Lancaster,20.0,19.5,17.5,19.0,19.0
Lawndale,18.0,17.0,17.0,17.5,17.375
Lincoln Heights,20.0,19.5,20.5,20.5,20.125
Littlerock,16.0,15.0,16.0,16.0,15.75
Long Beach,24.0,24.0,22.0,23.0,23.25
Los Altos,24.0,23.0,23.0,23.0,23.25
Los Angeles,15.666666666666666,14.333333333333334,16.0,16.666666666666668,15.666666666666666
Los Angeles County,26.0,26.0,21.0,22.0,23.75
Lynwood,18.0,17.0,17.0,17.0,17.25
Manhattan Beach,28.0,28.0,27.0,27.0,27.5
Maywood,18.0,16.0,17.0,18.0,17.25
Mid City,27.0,28.0,28.0,27.0,27.5
Monrovia,21.0,19.0,19.0,19.0,19.5
Mountain View,21.0,19.0,19.0,19.0,19.5
Newport Beach,17.0,16.0,17.0,17.0,16.75
North Central,18.0,18.0,18.0,19.0,18.25
North Hills,20.0,19.0,20.0,19.0,19.5
North Hollywood,16.0,15.0,16.0,17.0,16.0
Northeast Los Angeles,19.25,18.75,19.0,19.0,19.0
Norwalk,16.0,16.0,17.0,17.0,16.5
Palmdale,22.0,21.0,19.0,20.0,20.5
Park West,24.0,24.0,22.0,23.0,23.25
Pasadena,23.0,22.0,22.0,22.0,22.25
Pomona,20.4,19.4,19.4,19.6,19.7
Reseda,26.0,26.0,24.0,24.0,25.0
Rowland Heights,25.0,25.0,26.0,25.0,25.25
San Fernando,17.5,16.0,17.5,17.0,17.0
San Gabriel,28.0,28.0,26.0,26.0,27.0
San Pedro,17.0,16.0,17.0,18.0,17.0
Santa Monica Boulevard,19.0,20.0,18.0,18.0,18.75
Saugus,25.0,23.0,21.0,23.0,23.0
South Gate,19.0,18.0,18.0,18.0,18.25
South Los Angeles,16.75,15.785714285714286,17.107142857142858,16.821428571428573,16.616071428571427
South Montebello,18.666666666666668,17.666666666666668,17.333333333333332,18.333333333333332,18.0
Sun Valley,23.0,22.0,24.0,23.0,23.0
Valencia,29.0,29.0,25.0,25.0,27.0
Van Nuys,21.0,20.5,19.0,19.5,20.0
Venice,17.0,16.0,17.0,17.0,16.75
Western Malibu,26.0,26.0,24.0,24.0,25.0
Westlake,17.833333333333332,16.666666666666668,17.666666666666668,17.333333333333332,17.375
Westlake North,15.333333333333334,14.0,16.0,15.666666666666666,15.25
Westside,18.0,17.0,18.0,17.0,17.5
Wilmington,25.0,25.0,23.0,22.0,23.75
Woodland Hills,25.0,26.0,25.0,24.0,25.0
