RegionName,SizeRank,Housing_Score
South Los Angeles,4,30056923.0
Southeast Los Angeles,8,25005891.0
Hollywood,18,57647592.0
Mid City,62,67050041.0
Van Nuys,64,36397658.0
Sun Valley,68,34910281.0
Northridge,69,45601920.0
Sylmar,74,32874747.0
Boyle Heights,75,28882059.0
North Hollywood,78,41702805.0
San Pedro,79,39661465.0
Koreatown,82,42780469.0
Woodland Hills,83,53069190.0
Sherman Oaks,85,64689472.0
Pacoima,86,29530078.0
Westlake,99,45579939.0
Reseda,100,34091055.0
Panorama City,112,30267512.0
Valley Glen,131,45300069.0
North Hills,136,36720269.0
Wilmington,155,29059255.0
Canoga Park,157,33161110.0
Westwood,160,87491964.0
Central City,165,26942295.0
Highland Park,181,48653776.0
Granada Hills,184,41915903.0
Winnetka,195,36185365.0
Lake Balboa,199,37577443.0
Encino,201,72506260.0
Mid City West,208,104185684.0
Palms,217,73013007.0
El Sereno,219,36899073.0
Mar Vista,238,90442240.0
Watts,253,23163749.0
Harbor Gateway,255,34504028.0
Mid Wilshire,258,86873162.0
Tarzana,283,54268462.0
West Hills,288,45033159.0
Arleta,295,32439915.0
Silver Lake,296,59789490.0
Studio City,298,74805607.0
Westchester,301,71049639.0
Chatsworth,304,41240782.0
Downtown,312,43941159.0
Park Mesa Heights,330,35919192.0
Del Rey,331,68767883.0
Hollywood Hills,333,98740364.0
Sawtelle,338,61691048.0
Venice,351,107920689.0
Brentwood,360,151171144.0
Lincoln Heights,368,35197230.0
Jefferson Park,379,45111991.0
Eagle Rock,382,54169769.0
Harvard Heights,413,46361317.0
Los Feliz,440,80422093.0
University Park,452,43240548.0
Valley Village,456,62575133.0
Tujunga,457,40559718.0
Harbor City,488,35676420.0
Crenshaw,493,49698769.0
West Adams,502,44850891.0
Echo Park,529,48600652.0
Pacific Palisades,538,194591450.0
Glassell Park,540,50046746.0
Pico-Robertson,556,82177763.0
Porter Ranch,559,51964209.0
Mission Hills,606,34068802.0
Central City East,628,43543563.0
Adams-Normandie,645,44180092.0
Mount Washington,750,50903137.0
Pico-Union,770,37334840.0
Sunland,866,37848991.0
Playa Del Rey,886,66153763.0
Cheviot Hills,988,113176440.0
Arlington Heights,1016,56225622.0
Lakeview Terrace,1113,34921508.0
West Los Angeles,1179,85520843.0
Beverly Crest,1200,140393055.0
Atwater Village,1374,57899622.0
Cypress Park,1502,42988510.0
Leimert Park,1525,46088999.0
Crestview,1663,75896888.0
Toluca Lake,1780,62662380.0
Beverlywood,2003,98613911.0
Chinatown,2087,35559499.0
Bel Air,2260,207268544.0
Montecito Heights,2365,39943928.0
Elysian Valley,2819,46718358.0
University Hills,2989,34626559.0
Century City,3269,74774301.0
Playa Vista,3731,67525192.0
Shadow Hills,4441,48632944.0
Hermon,5805,45572033.0
South Carthay,5822,103194191.0
La Tuna Canyon,7118,49620127.0
Elysian Park,11212,40130341.0
